epoch,step,train_loss
4,4,65475.80078125
9,9,21186.2578125
14,14,8606.1015625
19,19,4421.4892578125
24,24,2988.989501953125
29,29,2420.859619140625
34,34,2177.5048828125
39,39,2062.953369140625
44,44,1997.4891357421875
49,49,1958.4561767578125
54,54,1935.092041015625
59,59,1920.838134765625
64,64,1911.9725341796875
69,69,1906.3636474609375
74,74,1902.76123046875
79,79,1900.38818359375
84,84,1898.778564453125
89,89,1897.6397705078125
94,94,1896.7880859375
99,99,1896.0535888671875
104,104,1895.072021484375
109,109,1891.830322265625
114,114,1888.553466796875
119,119,1886.7686767578125
124,124,1885.8016357421875
129,129,1885.2821044921875
134,134,1885.002197265625
139,139,1884.85009765625
144,144,1884.7655029296875
149,149,1884.717041015625
154,154,1884.6917724609375
159,159,1884.6759033203125
164,164,1884.6671142578125
169,169,1884.65771484375
174,174,1884.6485595703125
179,179,1884.5679931640625
184,184,1883.785400390625
189,189,1880.98046875
194,194,1879.095947265625
199,199,1878.047119140625
204,204,1877.4595947265625
209,209,1877.07958984375
214,214,1876.79052734375
219,219,1876.0860595703125
224,224,1875.28173828125
229,229,1874.8486328125
234,234,1874.614501953125
239,239,1874.48876953125
244,244,1874.42138671875
249,249,1874.3873291015625
254,254,1874.3729248046875
259,259,1874.36962890625
264,264,1874.3663330078125
269,269,1874.364501953125
274,274,1874.361083984375
279,279,1874.359130859375
284,284,1874.35791015625
289,289,1874.3564453125
294,294,1874.355712890625
299,299,1874.354736328125
304,304,1874.353759765625
309,309,1874.3529052734375
314,314,1874.3521728515625
319,319,1874.3516845703125
324,324,1874.35107421875
329,329,1874.350341796875
334,334,1874.349365234375
339,339,1874.348876953125
344,344,1874.348388671875
349,349,1874.34814453125
354,354,1874.34765625
359,359,1874.347412109375
364,364,1874.3470458984375
369,369,1874.346923828125
374,374,1874.3466796875
379,379,1874.346435546875
384,384,1874.34619140625
389,389,1874.345947265625
394,394,1874.345703125
399,399,1874.345458984375
404,404,1874.34521484375
409,409,1874.3450927734375
414,414,1874.3447265625
419,419,1874.3446044921875
424,424,1874.344482421875
429,429,1874.3443603515625
434,434,1874.34423828125
439,439,1874.34423828125
444,444,1874.343994140625
449,449,1874.343994140625
454,454,1874.343994140625
459,459,1874.34375
464,464,1874.34375
469,469,1874.34375
474,474,1874.34375
479,479,1874.343505859375
484,484,1874.343505859375
489,489,1874.3433837890625
494,494,1874.343505859375
499,499,1874.3433837890625
